row,repo_root,rel_path,ext,size_bytes,nnz
30,d:\CloudGuardAI\iac_subset,AlfredoPardo-zz_python-for-devsecops/feeding-and-consuming-apis/inputs/retire.json,.json,10815,39
31,d:\CloudGuardAI\iac_subset,AlfredoPardo-zz_python-for-devsecops/infrastructure-as-code/pulumi/azure-py-webserver-stack/Pulumi.azure-py-webserver.yaml,.yaml,237,63
32,d:\CloudGuardAI\iac_subset,AlfredoPardo-zz_python-for-devsecops/infrastructure-as-code/pulumi/azure-py-webserver-stack/Pulumi.yaml,.yaml,110,44
33,d:\CloudGuardAI\iac_subset,amkul99_pulumi-fargate/package.json,.json,198,26
34,d:\CloudGuardAI\iac_subset,amkul99_pulumi-fargate/Pulumi.yaml,.yaml,93,24
35,d:\CloudGuardAI\iac_subset,anandvimal_pulumi-examples/lambda trigger/Dockerfile,,79,23
36,d:\CloudGuardAI\iac_subset,anandvimal_pulumi-examples/lambda trigger/Pulumi.dev.yaml,.yaml,73,33
37,d:\CloudGuardAI\iac_subset,anandvimal_pulumi-examples/lambda trigger/Pulumi.yaml,.yaml,128,27
38,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/docker-compose.yml,.yml,734,34
39,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Assembler/appsettings.Development.json,.json,137,47
40,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Assembler/appsettings.json,.json,159,33
41,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Assembler/Properties/launchSettings.json,.json,222,38
42,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Buy/appsettings.Development.json,.json,168,47
43,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Buy/appsettings.json,.json,222,33
44,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Buy/Properties/launchSettings.json,.json,421,38
45,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Infra/Pulumi.main.yaml,.yaml,115,35
46,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Infra/Pulumi.yaml,.yaml,63,28
47,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Shipper/appsettings.Development.json,.json,137,47
48,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Shipper/appsettings.json,.json,159,33
49,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Shipper/Properties/launchSettings.json,.json,220,38
